Disease,perc LR,pval,LR
AD,26.82926829,0,target
ALS,12.6984127,0.0136,target
AnorexiaNervosa,10.29411765,0.0475,target
BipolarDisorder,10.73825503,0.0067,target
BrainAneurysm,12.5,0.0727,target
EssentialTremor,9.523809524,0.2001,target
FrontotemporalDementia,30.76923077,0.0001,target
MajorDepressiveDisorder,29.41176471,0,target
MigraineDisorder,15,0.003,target
MS,19.29824561,0,target
NeuroticDisorder,16.12903226,0.0149,target
OCD,12.5,0.018,target
PartialEpilepsy,22.72727273,0,target
PD,13.79310345,0.0004,target
RestlessLeg,0,0.3758,target
Schizophrenia,11.04100946,0.0001,target
TouretteSyndrome,13.79310345,0.0082,target
UnipolarDepression,9.844559585,0.0062,target
AD,10.97560976,0.0008,source
ALS,1.587301587,0.7716,source
AnorexiaNervosa,4.411764706,0.214,source
BipolarDisorder,4.697986577,0.1253,source
BrainAneurysm,0,0.4337,source
EssentialTremor,0,0.3907,source
FrontotemporalDementia,11.53846154,0.0241,source
MajorDepressiveDisorder,8.823529412,0.0457,source
MigraineDisorder,6.666666667,0.0605,source
MS,7.01754386,0.0171,source
NeuroticDisorder,0,0.5189,source
OCD,3.571428571,0.3773,source
PartialEpilepsy,7.575757576,0.0332,source
PD,6.034482759,0.0479,source
RestlessLeg,9.090909091,0.1542,source
Schizophrenia,3.154574132,0.38,source
TouretteSyndrome,5.172413793,0.1537,source
UnipolarDepression,3.10880829,0.4314,source
