,Astro,EndoMural,Excit_L2_3,Excit_L3,Excit_L3_4_5,Excit_L4,Excit_L5,Excit_L5_6,Excit_L6,Inhib,Micro,OPC,Oligo
Astro,0.0,41.0,7.0,31.0,13.0,306.0,398.0,3.0,3.0,33.0,8.0,3.0,38.0
EndoMural,41.0,0.0,7.0,37.0,21.0,463.0,613.0,1.0,13.0,45.0,21.0,12.0,82.0
Excit_L2_3,7.0,7.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0,0.0,1.0
Excit_L3,31.0,37.0,0.0,0.0,16.0,1608.0,1740.0,23.0,5.0,65.0,5.0,2.0,2.0
Excit_L3_4_5,13.0,21.0,0.0,16.0,0.0,1817.0,1802.0,0.0,0.0,8.0,7.0,1.0,27.0
Excit_L4,306.0,463.0,0.0,1608.0,1817.0,0.0,5461.0,139.0,147.0,702.0,83.0,55.0,329.0
Excit_L5,398.0,613.0,4.0,1740.0,1802.0,5461.0,0.0,170.0,178.0,858.0,106.0,79.0,449.0
Excit_L5_6,3.0,1.0,0.0,23.0,0.0,139.0,170.0,0.0,3.0,0.0,0.0,0.0,1.0
Excit_L6,3.0,13.0,0.0,5.0,0.0,147.0,178.0,3.0,0.0,4.0,2.0,1.0,26.0
Inhib,33.0,45.0,4.0,65.0,8.0,702.0,858.0,0.0,4.0,0.0,14.0,7.0,34.0
Micro,8.0,21.0,1.0,5.0,7.0,83.0,106.0,0.0,2.0,14.0,0.0,5.0,48.0
OPC,3.0,12.0,0.0,2.0,1.0,55.0,79.0,0.0,1.0,7.0,5.0,0.0,35.0
Oligo,38.0,82.0,1.0,2.0,27.0,329.0,449.0,1.0,26.0,34.0,48.0,35.0,0.0
