genes,Asthma,cardiovascular,coronaryheart,DiabetesMellitus,LymphoidLeukemia,ReumatoidArthritis
ABCB5,1.0,0.0,0.0,0.0,0.0,0.0
ABCC6,0.0,1.0,0.0,0.0,0.0,0.0
ABCC8,0.0,0.0,0.0,1.0,0.0,0.0
ABCC9,0.0,1.0,0.0,0.0,0.0,0.0
ABHD17C,0.0,1.0,0.0,0.0,0.0,0.0
ABL1,0.0,1.0,0.0,0.0,0.0,0.0
ACADVL,0.0,1.0,0.0,0.0,0.0,0.0
ACE,0.0,1.0,0.0,0.0,0.0,0.0
ACO2,0.0,1.0,0.0,0.0,0.0,0.0
ACSL1,0.0,0.0,0.0,1.0,0.0,0.0
ACTA2,0.0,1.0,0.0,0.0,0.0,0.0
ACTC1,0.0,1.0,0.0,0.0,0.0,0.0
ACTN2,0.0,1.0,0.0,0.0,0.0,0.0
ACVRL1,0.0,1.0,0.0,0.0,0.0,0.0
ADA2,0.0,1.0,0.0,0.0,0.0,0.0
ADAMTS3,0.0,1.0,0.0,0.0,0.0,0.0
ADAMTS8,0.0,1.0,0.0,0.0,0.0,0.0
ADAMTS9,0.0,0.0,0.0,1.0,0.0,0.0
ADAMTSL3,1.0,0.0,0.0,0.0,0.0,0.0
ADCY5,0.0,0.0,0.0,1.0,0.0,0.0
ADRB1,0.0,1.0,0.0,0.0,0.0,0.0
AFF3,0.0,0.0,0.0,1.0,0.0,1.0
AGK,0.0,1.0,0.0,0.0,0.0,0.0
AGT,0.0,1.0,0.0,0.0,0.0,0.0
AGTR1,0.0,1.0,0.0,0.0,0.0,0.0
AHI1,1.0,0.0,0.0,0.0,0.0,0.0
AIRE,0.0,0.0,0.0,1.0,0.0,0.0
AKAP6,0.0,1.0,0.0,0.0,0.0,0.0
AKAP9,0.0,1.0,0.0,0.0,0.0,0.0
AKR1C2,0.0,1.0,0.0,0.0,0.0,0.0
AKT1,0.0,1.0,0.0,0.0,0.0,0.0
AKT2,0.0,0.0,0.0,1.0,0.0,0.0
ALDH1A2,0.0,1.0,0.0,0.0,0.0,0.0
ALG2,0.0,1.0,0.0,0.0,0.0,0.0
ALPK3,0.0,1.0,0.0,0.0,0.0,0.0
ANG,0.0,0.0,0.0,1.0,0.0,0.0
ANK2,0.0,1.0,0.0,0.0,0.0,0.0
ANKH,0.0,0.0,0.0,1.0,0.0,0.0
ANKRD55,0.0,0.0,0.0,1.0,0.0,1.0
AOPEP,0.0,1.0,0.0,0.0,0.0,0.0
APOB,0.0,1.0,0.0,0.0,0.0,0.0
APOC3,0.0,0.0,1.0,0.0,0.0,0.0
APOE,0.0,1.0,1.0,0.0,0.0,0.0
APP,0.0,1.0,0.0,0.0,0.0,0.0
APPL1,0.0,0.0,0.0,1.0,0.0,0.0
ARHGAP42,0.0,1.0,1.0,0.0,0.0,0.0
ARID5B,0.0,0.0,0.0,0.0,1.0,1.0
ARIH1,0.0,1.0,0.0,0.0,0.0,0.0
ARL15,0.0,0.0,0.0,1.0,0.0,0.0
