genes,Asthma,cardiovascular,coronaryheart,DiabetesMellitus,LymphoidLeukemia,ReumatoidArthritis
ABCA1,0.0,1.0,1.0,0.0,0.0,0.0
ABCB10,0.0,0.0,0.0,1.0,0.0,0.0
ABCB5,1.0,0.0,0.0,0.0,0.0,0.0
ABCC6,0.0,1.0,0.0,0.0,0.0,0.0
ABCC8,0.0,0.0,0.0,1.0,0.0,0.0
ABCC9,0.0,1.0,0.0,0.0,0.0,0.0
ABCG8,0.0,1.0,1.0,0.0,0.0,0.0
ABHD17C,0.0,1.0,0.0,0.0,0.0,0.0
ABHD2,0.0,1.0,0.0,0.0,0.0,0.0
ABL1,0.0,1.0,0.0,0.0,0.0,0.0
ABO,0.0,1.0,1.0,1.0,0.0,0.0
ACADVL,0.0,1.0,0.0,0.0,0.0,0.0
ACE,0.0,1.0,0.0,1.0,0.0,0.0
ACO2,0.0,1.0,0.0,0.0,0.0,0.0
ACOXL,0.0,0.0,0.0,0.0,1.0,1.0
ACSL1,0.0,0.0,0.0,1.0,0.0,0.0
ACTA1,0.0,1.0,0.0,0.0,0.0,0.0
ACTA2,0.0,1.0,0.0,0.0,0.0,0.0
ACTC1,0.0,1.0,0.0,0.0,0.0,0.0
ACTN2,0.0,1.0,0.0,0.0,0.0,0.0
ACVR2B,0.0,1.0,0.0,0.0,0.0,0.0
ACVRL1,0.0,1.0,0.0,0.0,0.0,0.0
ADA2,0.0,1.0,0.0,0.0,0.0,0.0
ADAMTS3,0.0,1.0,0.0,0.0,0.0,0.0
ADAMTS7,0.0,1.0,1.0,0.0,0.0,0.0
ADAMTS8,0.0,1.0,0.0,0.0,0.0,0.0
ADAMTS9,0.0,0.0,0.0,1.0,0.0,0.0
ADAMTSL3,1.0,0.0,0.0,0.0,0.0,0.0
ADCY5,0.0,0.0,0.0,1.0,0.0,0.0
ADH1B,0.0,1.0,0.0,0.0,0.0,0.0
ADIPOQ,0.0,0.0,0.0,1.0,0.0,0.0
ADO,0.0,1.0,0.0,0.0,0.0,0.0
ADORA1,1.0,0.0,0.0,0.0,0.0,0.0
ADRB1,0.0,1.0,0.0,0.0,0.0,0.0
AFF3,0.0,0.0,0.0,1.0,0.0,1.0
AGGF1,0.0,1.0,0.0,0.0,0.0,0.0
AGK,0.0,1.0,0.0,0.0,0.0,0.0
AGO2,0.0,0.0,0.0,1.0,0.0,0.0
AGT,0.0,1.0,0.0,0.0,0.0,0.0
AGTR1,0.0,1.0,0.0,0.0,0.0,0.0
AHI1,1.0,0.0,0.0,0.0,0.0,0.0
AIRE,0.0,0.0,0.0,1.0,0.0,0.0
AKAP11,0.0,0.0,0.0,1.0,0.0,0.0
AKAP6,0.0,1.0,0.0,0.0,0.0,0.0
AKAP9,0.0,1.0,0.0,0.0,0.0,0.0
AKR1B10,0.0,1.0,0.0,0.0,0.0,0.0
AKR1C2,0.0,1.0,0.0,0.0,0.0,0.0
AKT1,0.0,1.0,0.0,0.0,0.0,0.0
AKT2,0.0,0.0,0.0,1.0,0.0,0.0
ALDH1A2,0.0,1.0,0.0,0.0,0.0,0.0
ALDH2,0.0,1.0,0.0,0.0,0.0,0.0
ALG2,0.0,1.0,0.0,0.0,0.0,0.0
ALPK3,0.0,1.0,0.0,0.0,0.0,0.0
ANG,0.0,0.0,0.0,1.0,0.0,0.0
ANK2,0.0,1.0,0.0,0.0,0.0,0.0
ANKDD1B,0.0,0.0,0.0,1.0,0.0,0.0
ANKH,0.0,0.0,0.0,1.0,0.0,0.0
ANKRD55,0.0,0.0,0.0,1.0,0.0,1.0
AOPEP,0.0,1.0,0.0,0.0,0.0,0.0
AP1S3,1.0,0.0,0.0,0.0,0.0,0.0
APOA5,0.0,1.0,1.0,0.0,0.0,0.0
APOB,0.0,1.0,1.0,0.0,0.0,0.0
APOC3,0.0,1.0,1.0,0.0,0.0,0.0
APOE,0.0,1.0,1.0,1.0,0.0,0.0
APOLD1,0.0,1.0,0.0,0.0,0.0,0.0
APP,0.0,1.0,0.0,0.0,0.0,0.0
APPL1,0.0,0.0,0.0,1.0,0.0,0.0
ARAP1,0.0,0.0,0.0,1.0,0.0,0.0
ARHGAP10,0.0,1.0,0.0,0.0,0.0,0.0
ARHGAP15,1.0,0.0,0.0,0.0,0.0,0.0
ARHGAP26,0.0,1.0,1.0,0.0,0.0,0.0
ARHGAP42,0.0,1.0,1.0,0.0,0.0,0.0
ARHGEF26,0.0,1.0,1.0,0.0,0.0,0.0
ARID1B,0.0,1.0,0.0,0.0,0.0,0.0
ARID5B,0.0,0.0,0.0,1.0,1.0,1.0
ARIH1,0.0,1.0,0.0,0.0,0.0,0.0
ARL15,0.0,1.0,0.0,1.0,0.0,0.0
ARNT2,0.0,1.0,0.0,0.0,0.0,0.0
ASXL1,0.0,1.0,0.0,0.0,0.0,0.0
ATP13A3,0.0,1.0,0.0,0.0,0.0,0.0
ATP1A2,0.0,1.0,0.0,0.0,0.0,0.0
ATP1B1,0.0,0.0,1.0,0.0,0.0,0.0
ATP2B1,0.0,1.0,1.0,0.0,0.0,0.0
ATR,0.0,1.0,0.0,0.0,0.0,0.0
ATRIP,0.0,1.0,0.0,0.0,0.0,0.0
AUTS2,0.0,0.0,0.0,1.0,0.0,0.0
B3GAT3,0.0,1.0,0.0,0.0,0.0,0.0
B3GLCT,0.0,1.0,0.0,0.0,0.0,0.0
B3GNT2,0.0,0.0,0.0,0.0,0.0,1.0
BACH2,1.0,0.0,0.0,1.0,0.0,1.0
BAG3,0.0,1.0,0.0,0.0,0.0,0.0
BAK1,0.0,0.0,0.0,1.0,1.0,0.0
BCL11A,0.0,0.0,0.0,1.0,0.0,0.0
BCL2,0.0,0.0,0.0,1.0,1.0,0.0
BCL2L11,1.0,0.0,0.0,1.0,1.0,0.0
BDNF,0.0,0.0,0.0,1.0,0.0,0.0
BEND3,0.0,0.0,0.0,1.0,0.0,0.0
BEND7,0.0,0.0,0.0,1.0,0.0,0.0
BEST3,0.0,1.0,0.0,0.0,0.0,0.0
BGN,0.0,1.0,0.0,0.0,0.0,0.0
BICC1,0.0,1.0,0.0,0.0,0.0,0.0
BLK,0.0,1.0,0.0,1.0,0.0,1.0
BLM,0.0,0.0,0.0,0.0,1.0,0.0
BMAL1,0.0,1.0,1.0,0.0,0.0,0.0
BMF,0.0,0.0,0.0,0.0,1.0,0.0
BMP7,0.0,1.0,0.0,0.0,0.0,0.0
BMPR2,0.0,1.0,0.0,0.0,0.0,0.0
BRAF,0.0,1.0,0.0,0.0,0.0,0.0
BSCL2,0.0,0.0,0.0,1.0,0.0,0.0
C12orf43,0.0,0.0,0.0,1.0,0.0,0.0
C16orf95,0.0,1.0,0.0,0.0,0.0,0.0
C1GALT1,0.0,1.0,0.0,0.0,0.0,0.0
C1QTNF6,0.0,0.0,0.0,1.0,0.0,0.0
C1orf141,0.0,0.0,0.0,0.0,0.0,1.0
C2CD4A,0.0,0.0,0.0,1.0,0.0,0.0
C2CD4B,0.0,0.0,0.0,1.0,0.0,0.0
CABCOCO1,0.0,1.0,0.0,0.0,0.0,0.0
CACNA1A,0.0,1.0,0.0,0.0,0.0,0.0
CACNA1C,0.0,1.0,0.0,0.0,0.0,0.0
CACNA1D,0.0,1.0,0.0,0.0,0.0,0.0
CACNB2,0.0,1.0,0.0,0.0,0.0,0.0
CALCR,0.0,0.0,0.0,1.0,0.0,0.0
CALCRL,0.0,1.0,0.0,0.0,0.0,0.0
CALM1,0.0,1.0,0.0,0.0,0.0,0.0
CALM2,0.0,1.0,0.0,0.0,0.0,0.0
CALM3,0.0,1.0,0.0,0.0,0.0,0.0
CAMK2D,0.0,1.0,0.0,0.0,0.0,0.0
CAMK4,0.0,0.0,0.0,1.0,0.0,0.0
CAND2,0.0,1.0,0.0,0.0,0.0,0.0
CAP2,0.0,1.0,0.0,0.0,0.0,0.0
CAPN3,0.0,1.0,0.0,0.0,0.0,0.0
CARD11,1.0,0.0,0.0,0.0,0.0,0.0
CARMIL1,0.0,0.0,0.0,1.0,0.0,0.0
CASQ2,0.0,1.0,0.0,0.0,0.0,0.0
CASR,0.0,0.0,0.0,1.0,0.0,0.0
CASZ1,0.0,1.0,0.0,0.0,0.0,0.0
CAV1,0.0,1.0,0.0,0.0,0.0,0.0
CAV3,0.0,1.0,0.0,0.0,0.0,0.0
CAVIN1,0.0,1.0,0.0,1.0,0.0,0.0
CBL,0.0,1.0,0.0,0.0,0.0,0.0
CBS,0.0,1.0,0.0,0.0,0.0,0.0
CBX2,0.0,1.0,0.0,0.0,0.0,0.0
CCBE1,0.0,1.0,0.0,0.0,0.0,0.0
CCDC170,0.0,1.0,0.0,0.0,0.0,0.0
CCDC71L,0.0,1.0,0.0,0.0,0.0,0.0
CCM2,0.0,1.0,0.0,0.0,0.0,0.0
CCND1,0.0,1.0,0.0,1.0,0.0,0.0
CCND2,0.0,1.0,0.0,1.0,0.0,0.0
CCR6,0.0,0.0,0.0,0.0,0.0,1.0
CD109,0.0,1.0,0.0,0.0,0.0,0.0
CD200R1,1.0,0.0,0.0,0.0,0.0,0.0
CD226,0.0,0.0,0.0,1.0,0.0,1.0
CD247,1.0,0.0,0.0,0.0,0.0,0.0
CD28,1.0,0.0,0.0,0.0,0.0,1.0
CD36,0.0,1.0,1.0,0.0,0.0,0.0
CD40,0.0,1.0,0.0,0.0,0.0,1.0
CD69,0.0,0.0,0.0,1.0,0.0,0.0
CD83,0.0,0.0,0.0,0.0,0.0,1.0
CD93,0.0,1.0,0.0,0.0,0.0,0.0
CDC123,0.0,0.0,0.0,1.0,0.0,0.0
CDC42,0.0,1.0,0.0,0.0,0.0,0.0
CDH13,0.0,1.0,1.0,0.0,0.0,0.0
CDH2,0.0,1.0,0.0,0.0,0.0,0.0
CDK13,0.0,1.0,0.0,0.0,0.0,0.0
CDK6,0.0,1.0,0.0,0.0,0.0,0.0
CDK8,0.0,1.0,0.0,0.0,0.0,0.0
CDKAL1,0.0,1.0,0.0,1.0,0.0,0.0
CDKN1A,0.0,1.0,0.0,0.0,0.0,0.0
CDKN1C,0.0,1.0,0.0,0.0,0.0,0.0
CDKN2A,0.0,1.0,1.0,1.0,1.0,0.0
CDKN2B,0.0,1.0,1.0,1.0,1.0,0.0
CEBPB,0.0,0.0,0.0,1.0,0.0,0.0
CEL,0.0,0.0,0.0,1.0,0.0,0.0
CELA2A,0.0,1.0,1.0,0.0,0.0,0.0
CELA3B,0.0,0.0,0.0,1.0,0.0,0.0
CELSR1,0.0,1.0,0.0,0.0,0.0,0.0
CENPW,0.0,0.0,0.0,1.0,0.0,0.0
CEP85L,0.0,1.0,0.0,0.0,0.0,0.0
CERKL,0.0,0.0,0.0,1.0,0.0,0.0
CERS1,0.0,1.0,0.0,0.0,0.0,0.0
CFAP45,0.0,1.0,0.0,0.0,0.0,0.0
CFAP52,0.0,1.0,0.0,0.0,0.0,0.0
CFAP53,0.0,1.0,0.0,0.0,0.0,0.0
CFH,0.0,1.0,0.0,0.0,0.0,0.0
