,genesymbol_intercell_source,genesymbol_intercell_target,source_disease,target_disease
161,SLAMF1,INPP5D,MS,AD
222,LEPR,JAK1,Schizophrenia,MS
225,IL7R,JAK1,MS,MS
227,TYK2,JAK1,MS,MS
234,IL6R,JAK1,AD,MS
240,CSF3R,JAK1,"AnorexiaNervosa,BipolarDisorder,MajorDepressiveDisorder,NeuroticDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression",MS
318,FYN,TYK2,"PD,Schizophrenia",MS
324,LEPR,TYK2,Schizophrenia,MS
326,IL7R,TYK2,MS,MS
333,CSF3R,TYK2,"AnorexiaNervosa,BipolarDisorder,MajorDepressiveDisorder,NeuroticDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression",MS
420,FYN,STAT3,"PD,Schizophrenia",MS
431,TNFSF14,STAT3,MS,MS
432,NGF,STAT3,MigraineDisorder,MS
434,LEPR,STAT3,Schizophrenia,MS
437,CSF3,STAT3,BipolarDisorder,MS
439,HGF,STAT3,AD,MS
440,TGFB1,STAT3,MigraineDisorder,MS
442,TYK2,STAT3,MS,MS
444,IL2,STAT3,"BipolarDisorder,UnipolarDepression",MS
447,IL12A,STAT3,MS,MS
450,IL6R,STAT3,AD,MS
452,IL21,STAT3,BipolarDisorder,MS
463,PDGFD,STAT3,MigraineDisorder,MS
464,FGFR3,STAT3,PartialEpilepsy,MS
472,TNFSF18,STAT3,"NarcolepsyCataplexy,Narcolepsy",MS
473,IL12B,STAT3,"MS,UnipolarDepression",MS
478,HCRT,STAT3,"NarcolepsyCataplexy,Narcolepsy",MS
523,FYN,GRIN2A,"PD,Schizophrenia","AnorexiaNervosa,BipolarDisorder,OCD,PartialEpilepsy,Schizophrenia,TouretteSyndrome,UnipolarDepression"
568,FYN,GRIA1,"PD,Schizophrenia","AnorexiaNervosa,BipolarDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression"
585,FYN,SLAMF1,"PD,Schizophrenia",MS
596,FYN,CD5,"PD,Schizophrenia",MS
599,FYN,PTPRF,"PD,Schizophrenia","AnorexiaNervosa,BipolarDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression"
600,LRFN5,PTPRF,"AnorexiaNervosa,BipolarDisorder,MajorDepressiveDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression","AnorexiaNervosa,BipolarDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression"
602,NID1,PTPRF,PartialEpilepsy,"AnorexiaNervosa,BipolarDisorder,OCD,Schizophrenia,TouretteSyndrome,UnipolarDepression"
603,FYN,FCGR2A,"PD,Schizophrenia",PD
606,FYN,TXK,"PD,Schizophrenia",MS
