,genesymbol_intercell_source,genesymbol_intercell_target,source_disease,target_disease
420,FYN,STAT3,"PD,Schizophrenia",MS
431,TNFSF14,STAT3,MS,MS
434,LEPR,STAT3,Schizophrenia,MS
447,IL12A,STAT3,MS,MS
523,FYN,GRIN2A,"PD,Schizophrenia","BipolarDisorder,PartialEpilepsy,Schizophrenia"
568,FYN,GRIA1,"PD,Schizophrenia",Schizophrenia
618,FYN,PLCG2,"PD,Schizophrenia",AD
1014,FYN,SCN9A,"PD,Schizophrenia",PartialEpilepsy
1019,FYN,CD226,"PD,Schizophrenia",MS
1025,FYN,APP,"PD,Schizophrenia",AD
1033,APOE,APP,AD,AD
1034,CNTN4,APP,"AnorexiaNervosa,BipolarDisorder,Schizophrenia",AD
1100,FYN,TNK2,"PD,Schizophrenia",PD
1277,FYN,DCC,"PD,Schizophrenia","BipolarDisorder,MajorDepressiveDisorder,Schizophrenia,UnipolarDepression"
1346,FYN,IL7R,"PD,Schizophrenia",MS
1465,FYN,TUBA4A,"PD,Schizophrenia",ALS
1906,FYN,EPHA1,"PD,Schizophrenia",AD
1909,EFNA5,EPHA1,Schizophrenia,AD
1917,FYN,ITGB5,"PD,Schizophrenia",MigraineDisorder
1921,RELN,ITGB5,PartialEpilepsy,MigraineDisorder
1985,FYN,PRKD1,"PD,Schizophrenia",Schizophrenia
2652,TNFRSF1A,MAP4K4,MS,PD
6250,LRIG1,ERBB4,AD,"ALS,UnipolarDepression"
6510,TNFSF14,TNFRSF1A,MS,MS
6519,GRN,TNFRSF1A,FrontotemporalDementia,MS
6735,SNCA,MMP3,PD,AD
6843,IL7R,FYN,MS,"PD,Schizophrenia"
6846,EFNA5,FYN,Schizophrenia,"PD,Schizophrenia"
7102,FSTL5,CD86,BipolarDisorder,MS
7969,EFNA5,EPHA5,Schizophrenia,Schizophrenia
8772,APOE,SCARB1,AD,AD
9025,RELN,ITGA8,PartialEpilepsy,PD
9236,CNTN4,PTPRG,"AnorexiaNervosa,BipolarDisorder,Schizophrenia",AD
9410,APOE,TREM2,AD,FrontotemporalDementia
9412,SEMA6D,TREM2,"MajorDepressiveDisorder,Schizophrenia,UnipolarDepression",FrontotemporalDementia
9413,APOE,CHRNA4,AD,PartialEpilepsy
9659,LGI1,RTN4R,PartialEpilepsy,Schizophrenia
