,index,gene,pagerank_score,source_disease,ensembl_gene_id,druggability_tier,hgnc_names,chr_b37,start_b37,end_b37,strand,description,no_of_gwas_regions,small_mol_druggable,bio_druggable,adme_gene
0,0,FYN,0.1084722904010023,PD,ENSG00000010810,Tier 1,FYN,6,111981535.0,112194655.0,-1.0,"FYN oncogene related to SRC, FGR, YES [Source:HGNC Symbol;Acc:4037]",1.0,1.0,1.0,1.0
0,0,FYN,0.1084722904010023,SCZ,ENSG00000010810,Tier 1,FYN,6,111981535.0,112194655.0,-1.0,"FYN oncogene related to SRC, FGR, YES [Source:HGNC Symbol;Acc:4037]",1.0,1.0,1.0,1.0
1,1,STAT3,0.0395613916131605,MS,ENSG00000168610,Tier 1,STAT3,17,40465342.0,40540586.0,-1.0,signal transducer and activator of transcription 3 (acute-phase response factor) [Source:HGNC Symbol;Acc:11364],6.0,1.0,1.0,1.0
2,2,ITGB5,0.0170216398838733,MigraineDisorder,ENSG00000082781,Tier 1,ITGB5,3,124480795.0,124620265.0,-1.0,"integrin, beta 5 [Source:HGNC Symbol;Acc:6160]",0.0,1.0,1.0,1.0
3,3,RELN,0.0154772933684254,RestlessLeg,ENSG00000189056,Tier 3A,RELN,7,103112231.0,103629963.0,-1.0,reelin [Source:HGNC Symbol;Acc:9957],1.0,1.0,1.0,1.0
4,4,SNCA,0.0141574024542975,LBD,ENSG00000145335,Tier 2,SNCA,4,90645250.0,90759466.0,-1.0,"synuclein, alpha (non A4 component of amyloid precursor) [Source:HGNC Symbol;Acc:11138]",13.0,1.0,1.0,1.0
4,4,SNCA,0.0141574024542975,PD,ENSG00000145335,Tier 2,SNCA,4,90645250.0,90759466.0,-1.0,"synuclein, alpha (non A4 component of amyloid precursor) [Source:HGNC Symbol;Acc:11138]",13.0,1.0,1.0,1.0
4,4,SNCA,0.0141574024542975,SCZ,ENSG00000145335,Tier 2,SNCA,4,90645250.0,90759466.0,-1.0,"synuclein, alpha (non A4 component of amyloid precursor) [Source:HGNC Symbol;Acc:11138]",13.0,1.0,1.0,1.0
6,6,TLR4,0.013030560340936,MajorDepressiveDisorder,ENSG00000136869,Tier 2,TLR4,9,120466610.0,120479149.0,1.0,toll-like receptor 4 [Source:HGNC Symbol;Acc:11850],0.0,1.0,1.0,1.0
7,7,ITGA8,0.0119392980899696,PD,ENSG00000077943,Tier 3A,ITGA8,10,15555948.0,15762124.0,-1.0,"integrin, alpha 8 [Source:HGNC Symbol;Acc:6144]",0.0,1.0,1.0,1.0
8,8,WNT3,0.0108908355748852,PD,ENSG00000108379,Tier 2,WNT3,17,44839872.0,44910520.0,-1.0,"wingless-type MMTV integration site family, member 3 [Source:HGNC Symbol;Acc:12782]",13.0,1.0,1.0,1.0
9,9,ERBB4,0.0099928719735686,MajorDepressiveDisorder,ENSG00000178568,Tier 1,ERBB4,2,212240446.0,213403565.0,-1.0,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4 [Source:HGNC Symbol;Acc:3432],1.0,1.0,1.0,1.0
10,10,IL7R,0.0098011071176279,MS,ENSG00000168685,Tier 3A,IL7R,5,35852797.0,35879705.0,1.0,interleukin 7 receptor [Source:HGNC Symbol;Acc:6024],4.0,1.0,1.0,1.0
12,12,IL12A,0.0094086809081171,Epilepsy,ENSG00000168811,Tier 3A,IL12A,3,159706537.0,159713806.0,1.0,"interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35) [Source:HGNC Symbol;Acc:5969]",2.0,1.0,1.0,1.0
12,12,IL12A,0.0094086809081171,MS,ENSG00000168811,Tier 3A,IL12A,3,159706537.0,159713806.0,1.0,"interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35) [Source:HGNC Symbol;Acc:5969]",2.0,1.0,1.0,1.0
13,13,APOE,0.0091565301929154,AD,ENSG00000130203,Tier 3A,APOE,19,45409011.0,45412650.0,1.0,apolipoprotein E [Source:HGNC Symbol;Acc:613],84.0,1.0,1.0,1.0
13,13,APOE,0.0091565301929154,LBD,ENSG00000130203,Tier 3A,APOE,19,45409011.0,45412650.0,1.0,apolipoprotein E [Source:HGNC Symbol;Acc:613],84.0,1.0,1.0,1.0
13,13,APOE,0.0091565301929154,MajorDepressiveDisorder,ENSG00000130203,Tier 3A,APOE,19,45409011.0,45412650.0,1.0,apolipoprotein E [Source:HGNC Symbol;Acc:613],84.0,1.0,1.0,1.0
13,13,APOE,0.0091565301929154,PD,ENSG00000130203,Tier 3A,APOE,19,45409011.0,45412650.0,1.0,apolipoprotein E [Source:HGNC Symbol;Acc:613],84.0,1.0,1.0,1.0
13,13,APOE,0.0091565301929154,SCZ,ENSG00000130203,Tier 3A,APOE,19,45409011.0,45412650.0,1.0,apolipoprotein E [Source:HGNC Symbol;Acc:613],84.0,1.0,1.0,1.0
15,15,NRXN1,0.0074695985540027,AD,ENSG00000179915,Tier 3A,NRXN1,2,50145643.0,51259674.0,-1.0,neurexin 1 [Source:HGNC Symbol;Acc:8008],0.0,1.0,1.0,1.0
15,15,NRXN1,0.0074695985540027,MajorDepressiveDisorder,ENSG00000179915,Tier 3A,NRXN1,2,50145643.0,51259674.0,-1.0,neurexin 1 [Source:HGNC Symbol;Acc:8008],0.0,1.0,1.0,1.0
17,17,APP,0.0066721972479703,AD,ENSG00000142192,Tier 1,APP,21,27252861.0,27543446.0,-1.0,amyloid beta (A4) precursor protein [Source:HGNC Symbol;Acc:620],0.0,1.0,1.0,1.0
18,18,FSTL5,0.0064604736114369,BipolarDisorder,ENSG00000168843,Tier 3A,FSTL5,4,162305049.0,163085187.0,-1.0,follistatin-like 5 [Source:HGNC Symbol;Acc:21386],0.0,1.0,1.0,1.0
19,19,PRKD1,0.0064176889184064,MajorDepressiveDisorder,ENSG00000184304,Tier 1,PRKD1,14,30045687.0,30661104.0,-1.0,protein kinase D1 [Source:HGNC Symbol;Acc:9407],2.0,1.0,1.0,1.0
19,19,PRKD1,0.0064176889184064,MS,ENSG00000184304,Tier 1,PRKD1,14,30045687.0,30661104.0,-1.0,protein kinase D1 [Source:HGNC Symbol;Acc:9407],2.0,1.0,1.0,1.0
19,19,PRKD1,0.0064176889184064,SCZ,ENSG00000184304,Tier 1,PRKD1,14,30045687.0,30661104.0,-1.0,protein kinase D1 [Source:HGNC Symbol;Acc:9407],2.0,1.0,1.0,1.0
20,20,DCC,0.0057822326516042,AnorexiaNervosa,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
20,20,DCC,0.0057822326516042,BipolarDisorder,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
20,20,DCC,0.0057822326516042,MajorDepressiveDisorder,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
20,20,DCC,0.0057822326516042,OCD,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
20,20,DCC,0.0057822326516042,SCZ,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
20,20,DCC,0.0057822326516042,Tourette,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
21,21,TGFBR2,0.0055437003087157,MigraineDisorder,ENSG00000163513,Tier 1,TGFBR2,3,30647994.0,30735634.0,1.0,"transforming growth factor, beta receptor II (70/80kDa) [Source:HGNC Symbol;Acc:11773]",1.0,1.0,1.0,1.0
24,24,IL2RA,0.0052385757407805,MS,ENSG00000134460,Tier 1,IL2RA,10,6052652.0,6104288.0,-1.0,"interleukin 2 receptor, alpha [Source:HGNC Symbol;Acc:6008]",16.0,1.0,1.0,1.0
25,25,TNFSF14,0.0051594647349994,MS,ENSG00000125735,Tier 1,TNFSF14,19,6663148.0,6670599.0,-1.0,"tumor necrosis factor (ligand) superfamily, member 14 [Source:HGNC Symbol;Acc:11930]",1.0,1.0,1.0,1.0
26,26,EPHA1,0.0045442023738609,AD,ENSG00000146904,Tier 1,EPHA1,7,143087382.0,143105985.0,-1.0,EPH receptor A1 [Source:HGNC Symbol;Acc:3385],1.0,1.0,1.0,1.0
27,27,GRIA1,0.0045366656753091,AD,ENSG00000155511,Tier 1,GRIA1,5,152869175.0,153193429.0,1.0,"glutamate receptor, ionotropic, AMPA 1 [Source:HGNC Symbol;Acc:4571]",1.0,1.0,1.0,1.0
27,27,GRIA1,0.0045366656753091,MajorDepressiveDisorder,ENSG00000155511,Tier 1,GRIA1,5,152869175.0,153193429.0,1.0,"glutamate receptor, ionotropic, AMPA 1 [Source:HGNC Symbol;Acc:4571]",1.0,1.0,1.0,1.0
27,27,GRIA1,0.0045366656753091,RestlessLeg,ENSG00000155511,Tier 1,GRIA1,5,152869175.0,153193429.0,1.0,"glutamate receptor, ionotropic, AMPA 1 [Source:HGNC Symbol;Acc:4571]",1.0,1.0,1.0,1.0
27,27,GRIA1,0.0045366656753091,SCZ,ENSG00000155511,Tier 1,GRIA1,5,152869175.0,153193429.0,1.0,"glutamate receptor, ionotropic, AMPA 1 [Source:HGNC Symbol;Acc:4571]",1.0,1.0,1.0,1.0
28,28,S1PR1,0.0042045231978397,PD,ENSG00000170989,Tier 1,S1PR1,1,101702444.0,101707074.0,1.0,sphingosine-1-phosphate receptor 1 [Source:HGNC Symbol;Acc:3165],0.0,1.0,1.0,1.0
29,29,CD47,0.0041516409983115,BipolarDisorder,ENSG00000196776,Tier 3B,CD47,3,107762145.0,107809872.0,-1.0,CD47 molecule [Source:HGNC Symbol;Acc:1682],0.0,1.0,1.0,1.0
33,33,MAP4K4,0.0035647410375156,PD,ENSG00000071054,Tier 1,MAP4K4,2,102313312.0,102511149.0,1.0,mitogen-activated protein kinase kinase kinase kinase 4 [Source:HGNC Symbol;Acc:6866],0.0,1.0,1.0,1.0
34,34,SEMA6D,0.003402417887672,AD,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
34,34,SEMA6D,0.003402417887672,MajorDepressiveDisorder,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
34,34,SEMA6D,0.003402417887672,RestlessLeg,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
34,34,SEMA6D,0.003402417887672,SCZ,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
35,35,DCLK3,0.0033983935185898,AnorexiaNervosa,ENSG00000163673,Tier 1,DCLK3,3,36753913.0,36781352.0,-1.0,doublecortin-like kinase 3 [Source:HGNC Symbol;Acc:19005],0.0,1.0,1.0,1.0
35,35,DCLK3,0.0033983935185898,BipolarDisorder,ENSG00000163673,Tier 1,DCLK3,3,36753913.0,36781352.0,-1.0,doublecortin-like kinase 3 [Source:HGNC Symbol;Acc:19005],0.0,1.0,1.0,1.0
35,35,DCLK3,0.0033983935185898,MajorDepressiveDisorder,ENSG00000163673,Tier 1,DCLK3,3,36753913.0,36781352.0,-1.0,doublecortin-like kinase 3 [Source:HGNC Symbol;Acc:19005],0.0,1.0,1.0,1.0
35,35,DCLK3,0.0033983935185898,OCD,ENSG00000163673,Tier 1,DCLK3,3,36753913.0,36781352.0,-1.0,doublecortin-like kinase 3 [Source:HGNC Symbol;Acc:19005],0.0,1.0,1.0,1.0
35,35,DCLK3,0.0033983935185898,SCZ,ENSG00000163673,Tier 1,DCLK3,3,36753913.0,36781352.0,-1.0,doublecortin-like kinase 3 [Source:HGNC Symbol;Acc:19005],0.0,1.0,1.0,1.0
35,35,DCLK3,0.0033983935185898,Tourette,ENSG00000163673,Tier 1,DCLK3,3,36753913.0,36781352.0,-1.0,doublecortin-like kinase 3 [Source:HGNC Symbol;Acc:19005],0.0,1.0,1.0,1.0
43,43,TGFB1,0.0028294577272905,AD,ENSG00000105329,Tier 1,TGFB1,19,41807492.0,41859816.0,-1.0,"transforming growth factor, beta 1 [Source:HGNC Symbol;Acc:11766]",1.0,1.0,1.0,1.0
43,43,TGFB1,0.0028294577272905,MigraineDisorder,ENSG00000105329,Tier 1,TGFB1,19,41807492.0,41859816.0,-1.0,"transforming growth factor, beta 1 [Source:HGNC Symbol;Acc:11766]",1.0,1.0,1.0,1.0
44,44,MAPK1,0.0027887953557573,MS,ENSG00000100030,Tier 1,MAPK1,22,22108789.0,22221970.0,-1.0,mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:6871],1.0,1.0,1.0,1.0
48,48,LRFN5,0.002685996198606,BipolarDisorder,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
48,48,LRFN5,0.002685996198606,MajorDepressiveDisorder,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
49,49,FES,0.0026571782056069,AnorexiaNervosa,ENSG00000182511,Tier 2,FES,15,91426925.0,91439006.0,1.0,feline sarcoma oncogene [Source:HGNC Symbol;Acc:3657],4.0,1.0,1.0,1.0
49,49,FES,0.0026571782056069,BipolarDisorder,ENSG00000182511,Tier 2,FES,15,91426925.0,91439006.0,1.0,feline sarcoma oncogene [Source:HGNC Symbol;Acc:3657],4.0,1.0,1.0,1.0
49,49,FES,0.0026571782056069,MajorDepressiveDisorder,ENSG00000182511,Tier 2,FES,15,91426925.0,91439006.0,1.0,feline sarcoma oncogene [Source:HGNC Symbol;Acc:3657],4.0,1.0,1.0,1.0
49,49,FES,0.0026571782056069,OCD,ENSG00000182511,Tier 2,FES,15,91426925.0,91439006.0,1.0,feline sarcoma oncogene [Source:HGNC Symbol;Acc:3657],4.0,1.0,1.0,1.0
49,49,FES,0.0026571782056069,SCZ,ENSG00000182511,Tier 2,FES,15,91426925.0,91439006.0,1.0,feline sarcoma oncogene [Source:HGNC Symbol;Acc:3657],4.0,1.0,1.0,1.0
49,49,FES,0.0026571782056069,Tourette,ENSG00000182511,Tier 2,FES,15,91426925.0,91439006.0,1.0,feline sarcoma oncogene [Source:HGNC Symbol;Acc:3657],4.0,1.0,1.0,1.0
50,50,INPP5D,0.0026510275151558,AD,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
52,52,GRIN2A,0.0026042989667742,AnorexiaNervosa,ENSG00000183454,Tier 1,GRIN2A,16,9852376.0,10276611.0,-1.0,"glutamate receptor, ionotropic, N-methyl D-aspartate 2A [Source:HGNC Symbol;Acc:4585]",3.0,1.0,1.0,1.0
52,52,GRIN2A,0.0026042989667742,BipolarDisorder,ENSG00000183454,Tier 1,GRIN2A,16,9852376.0,10276611.0,-1.0,"glutamate receptor, ionotropic, N-methyl D-aspartate 2A [Source:HGNC Symbol;Acc:4585]",3.0,1.0,1.0,1.0
52,52,GRIN2A,0.0026042989667742,MajorDepressiveDisorder,ENSG00000183454,Tier 1,GRIN2A,16,9852376.0,10276611.0,-1.0,"glutamate receptor, ionotropic, N-methyl D-aspartate 2A [Source:HGNC Symbol;Acc:4585]",3.0,1.0,1.0,1.0
52,52,GRIN2A,0.0026042989667742,OCD,ENSG00000183454,Tier 1,GRIN2A,16,9852376.0,10276611.0,-1.0,"glutamate receptor, ionotropic, N-methyl D-aspartate 2A [Source:HGNC Symbol;Acc:4585]",3.0,1.0,1.0,1.0
52,52,GRIN2A,0.0026042989667742,SCZ,ENSG00000183454,Tier 1,GRIN2A,16,9852376.0,10276611.0,-1.0,"glutamate receptor, ionotropic, N-methyl D-aspartate 2A [Source:HGNC Symbol;Acc:4585]",3.0,1.0,1.0,1.0
52,52,GRIN2A,0.0026042989667742,Tourette,ENSG00000183454,Tier 1,GRIN2A,16,9852376.0,10276611.0,-1.0,"glutamate receptor, ionotropic, N-methyl D-aspartate 2A [Source:HGNC Symbol;Acc:4585]",3.0,1.0,1.0,1.0
53,53,NEGR1,0.0025841525115073,AD,ENSG00000172260,Tier 3A,NEGR1,1,71861623.0,72748417.0,-1.0,neuronal growth regulator 1 [Source:HGNC Symbol;Acc:17302],10.0,1.0,1.0,1.0
53,53,NEGR1,0.0025841525115073,AnorexiaNervosa,ENSG00000172260,Tier 3A,NEGR1,1,71861623.0,72748417.0,-1.0,neuronal growth regulator 1 [Source:HGNC Symbol;Acc:17302],10.0,1.0,1.0,1.0
53,53,NEGR1,0.0025841525115073,BipolarDisorder,ENSG00000172260,Tier 3A,NEGR1,1,71861623.0,72748417.0,-1.0,neuronal growth regulator 1 [Source:HGNC Symbol;Acc:17302],10.0,1.0,1.0,1.0
53,53,NEGR1,0.0025841525115073,MajorDepressiveDisorder,ENSG00000172260,Tier 3A,NEGR1,1,71861623.0,72748417.0,-1.0,neuronal growth regulator 1 [Source:HGNC Symbol;Acc:17302],10.0,1.0,1.0,1.0
53,53,NEGR1,0.0025841525115073,OCD,ENSG00000172260,Tier 3A,NEGR1,1,71861623.0,72748417.0,-1.0,neuronal growth regulator 1 [Source:HGNC Symbol;Acc:17302],10.0,1.0,1.0,1.0
53,53,NEGR1,0.0025841525115073,SCZ,ENSG00000172260,Tier 3A,NEGR1,1,71861623.0,72748417.0,-1.0,neuronal growth regulator 1 [Source:HGNC Symbol;Acc:17302],10.0,1.0,1.0,1.0
53,53,NEGR1,0.0025841525115073,Tourette,ENSG00000172260,Tier 3A,NEGR1,1,71861623.0,72748417.0,-1.0,neuronal growth regulator 1 [Source:HGNC Symbol;Acc:17302],10.0,1.0,1.0,1.0
54,54,NMUR2,0.0025841525115073,AnorexiaNervosa,ENSG00000132911,Tier 3B,NMUR2,5,151771093.0,151812929.0,-1.0,neuromedin U receptor 2 [Source:HGNC Symbol;Acc:16454],0.0,1.0,1.0,1.0
