genes,AD,MajorDepressiveDisorder,SCZ
ABCA7,1.0,0.0,0.0
ACE,1.0,0.0,0.0
APH1B,1.0,0.0,0.0
APOE,1.0,0.0,0.0
APP,1.0,0.0,0.0
CDH6,0.0,1.0,0.0
CELF4,0.0,1.0,0.0
CLU,1.0,0.0,0.0
CR1,1.0,0.0,0.0
CTTNBP2,0.0,1.0,0.0
DCC,0.0,1.0,0.0
ERCC4,0.0,1.0,1.0
ESAM,0.0,0.0,1.0
FES,0.0,0.0,1.0
GRIA1,0.0,0.0,1.0
GRM3,0.0,0.0,1.0
GRN,1.0,0.0,0.0
HCN1,0.0,0.0,1.0
KCNV1,0.0,0.0,1.0
LRFN5,0.0,1.0,0.0
MEIS2,0.0,1.0,0.0
MS4A6A,1.0,0.0,0.0
NEGR1,0.0,1.0,0.0
OLFM4,0.0,1.0,0.0
PJA1,0.0,0.0,1.0
PLCG2,1.0,0.0,0.0
RBFOX1,0.0,1.0,0.0
RGS6,0.0,0.0,1.0
SEMA6D,0.0,1.0,0.0
SLC39A8,0.0,0.0,1.0
SORCS3,0.0,1.0,0.0
SORL1,1.0,0.0,0.0
TCF4,0.0,1.0,1.0
TMEM106B,0.0,1.0,0.0
TREM2,1.0,0.0,0.0
VRK2,0.0,1.0,1.0
ZNF804A,0.0,0.0,1.0
