Disease,perc LR,pval,LR
AD,10.36468330134357,0.0122,target
ALS,6.8181818181818175,0.4464,target
AnorexiaNervosa,12.5,0.0105,target
BipolarDisorder,10.773480662983426,0.0137,target
Epilepsy,16,0.0055,target
LBD,7.142857142857142,0.2965,target
MajorDepressiveDisorder,8.938547486033519,0.1034,target
MigraineDisorder,7.886435331230284,0.4123,target
MS,14.782608695652174,0,target
Narcolepsy,17.647058823529413,0.0374,target
OCD,14.388489208633093,0.0016,target
PD,11.65644171779141,0.0303,target
PSP,6.666666666666667,0.3261,target
RestlessLeg,7.563025210084033,0.4779,target
SCZ,9.141274238227147,0.0712,target
Tourette,13.513513513513514,0.0054,target
AD,4.798464491362764,0.3256,source
ALS,4.545454545454546,0.3221,source
AnorexiaNervosa,2.840909090909091,0.809,source
BipolarDisorder,3.591160220994475,0.7496,source
Epilepsy,9.333333333333334,0.021,source
LBD,21.428571428571427,0.0024,source
MajorDepressiveDisorder,4.329608938547486,0.5467,source
MigraineDisorder,4.731861199,0.352,source
MS,6.956521739130435,0.0313,source
Narcolepsy,17.647058823529413,0.0058,source
OCD,3.597122302158273,0.5976,source
PD,4.9079754601226995,0.3139,source
PSP,13.333333333333334,0.0316,source
RestlessLeg,5.462184874,0.1892,source
SCZ,3.324099723,0.935,source
Tourette,2.7027027027027026,0.8017,source
